地市州,年份,地区生产总值GDP（亿元）,人均 GDP（元）,GDP 增长率（%）,第二产业占 GDP 比重（%）,第三产业占 GDP 比重（%）,财政预算收入（亿元）,人均财政收入（元）,实际外商直接投资（亿美元）,外贸进出口总额（亿美元）,社会消费品零售总额（亿元）,人均批发零售总额（元）,城镇居民人均可支配收入（元）,农村居民人均可支配收入（元）,人均金融机构存款余额（元）,货物周转量（亿吨公里）,旅客周转量（亿人公里）,邮电业务总量（亿元）,旅游人数（万人次）（2021年后未统计入境旅游人数）,城乡人口总数（万人）,城镇人口占总人口比重（%）,高等教育在校人数（万人）,财政科学技术支出（亿元）
咸宁,2022,0.0308,0.3125,0.5301,0.6467,0.2459,0.0234,0.2252,0.0049,0.0183,0.0301,0.4905,0.2304,0.3889,0.1353,0.0056,0.004,0.0068,0.0755,0.0438,0.352,0.0249,0.0154
咸宁,2023,0.0298,0.2957,0.4286,0.3882,0.4636,0.0262,0.2649,0.0071,0.0177,0.033,0.5418,0.2895,0.4609,0.1688,0.0066,0.0047,0.0082,0.092,0.0437,0.3712,0.0302,0.0155
随州,2020,0.0178,0.1497,0.1692,0.8045,0,0.0082,0.0483,0.0039,0.0117,0.0196,0.4041,0,0.2807,0.129,0.0127,0.0059,0.0018,0.0126,0.0341,0.3227,0.0037,0.0036
随州,2021,0.0202,0.2275,0.8195,0.7577,0.0754,0.0118,0.1173,0.0048,0.0165,0.0238,0.5057,0.0978,0.3771,0.1669,0.0164,0.0078,0.0019,0.0244,0.0335,0.3443,0.0037,0.0028
随州,2022,0.0216,0.2663,0.5338,0.8257,0.0383,0.0119,0.1185,0.0019,0.0194,0.0248,0.5295,0.1581,0.4468,0.221,0.0135,0.0067,0.0022,0.0269,0.0335,0.3585,0.0038,0.0046
随州,2023,0.0217,0.2687,0.5489,0.7239,0.1337,0.0146,0.1679,0.001,0.0165,0.0273,0.5891,0.2102,0.5244,0.2656,0.0141,0.0069,0.0023,0.0329,0.0333,0.3777,0.0042,0.0056
恩施,2020,0.0181,0,0.2105,0,0.6928,0.0137,0.0406,0.0028,0.0009,0.0234,0.2727,0.0102,0.0213,0,0.0064,0.0109,0.0071,0.0386,0.0582,0.0757,0.0208,0.0157
恩施,2021,0.0212,0.0428,0.8083,0.0157,0.7099,0.0182,0.0917,0.0044,0.0014,0.0291,0.3542,0.1027,0.0855,0.0113,0.0083,0.0119,0.0075,0.0751,0.0572,0.1022,0.0232,0.0118
恩施,2022,0.0229,0.0687,0.4925,0.1502,0.5498,0.0186,0.095,0.0014,0.003,0.0303,0.3705,0.1582,0.1342,0.0423,0.0065,0.01,0.0079,0.0769,0.0573,0.1195,0.0254,0.0113
恩施,2023,0.0242,0.0876,0.594,0.0561,0.6438,0.0227,0.1399,0.002,0.0051,0.0336,0.4158,0.2269,0.1879,0.0648,0.0076,0.0146,0.0085,0.097,0.0571,0.1443,0.0283,0.0138
仙桃,2020,0.0133,0.3209,0.2068,0.7938,0.1646,0.0072,0.1466,0.0026,0.0342,0.013,0.5017,0.1529,0.4174,0.1437,0.0024,0.0011,0.0019,0.0032,0.0184,0.3816,0.0051,0.0035
仙桃,2021,0.015,0.4028,0.6053,0.7746,0.1419,0.0085,0.1965,0.0043,0.0171,0.0169,0.6732,0.2398,0.5061,0.1752,0.0026,0.0008,0.0021,0.0049,0.0179,0.3989,0.006,0.0041
仙桃,2022,0.0164,0.4716,0.5677,0.8833,0.0617,0.0078,0.1744,0.0011,0.0143,0.0177,0.7074,0.3108,0.5971,0.2257,0.0022,0.0005,0.0024,0.0047,0.018,0.414,0.0065,0.0042
仙桃,2023,0.0164,0.4765,0.5414,0.7826,0.1783,0.0087,0.2081,0.0029,0.0122,0.0193,0.7842,0.3711,0.6856,0.2648,0.0026,0.0003,0.0025,0.0082,0.0177,0.4333,0.0068,0.0058
潜江,2020,0.0122,0.3994,0.1955,0.9793,0.0134,0.007,0.2125,0.0004,0.0084,0.0087,0.4315,0.0899,0.3406,0.1598,0.0018,0.0006,0.0017,0.0008,0.0142,0.3652,0.0038,0.0033
潜江,2021,0.0137,0.5307,0.8308,0.7619,0.198,0.0059,0.1837,0.0004,0.0136,0.011,0.5852,0.1895,0.44,0.2196,0.003,0.0002,0.0018,0.0018,0.0133,0.3066,0.0043,0.0028
潜江,2022,0.0143,0.5772,0.4662,0.7788,0.1928,0.006,0.1812,0.0009,0.0207,0.0115,0.5981,0.2542,0.5203,0.2609,0.0031,0,0.0019,0.0033,0.0137,0.3215,0.0047,0.0039
潜江,2023,0.0146,0.5914,0.6053,0.6813,0.3158,0.0074,0.2495,0.001,0.016,0.0127,0.6755,0.3221,0.6048,0.3289,0.0038,0.0001,0.0021,0.0055,0.0134,0.3467,0.0056,0.005
天门,2020,0.0098,0.1493,0.1579,0.8364,0.0137,0.0026,0,0.0006,0.0015,0.0104,0.3886,0.0214,0.3138,0.0666,0.0027,0.0031,0.0018,0,0.0189,0,0.001,0.0029
天门,2021,0.0115,0.2466,0.8233,0.8007,0.0475,0.0045,0.065,0.0002,0.002,0.0136,0.5395,0.1132,0.4143,0.107,0.0027,0.0017,0.0019,0.0027,0.0179,0.0457,0.0013,0.0031
天门,2022,0.0117,0.2664,0.3008,0.7174,0.1508,0.0046,0.0684,0,0.0023,0.0141,0.557,0.1723,0.4831,0.1533,0.0034,0.0011,0.0022,0.0028,0.018,0.0604,0.0018,0.005
天门,2023,0.0114,0.2563,0.6015,0.5388,0.3202,0.0054,0.0986,0,0.0024,0.0155,0.6241,0.2322,0.5606,0.2123,0.004,0.0009,0.0023,0.0049,0.0177,0.0964,0.002,0.0054
神农架,2020,0,0.0835,0.109,0.2742,0.8091,0,0.4156,0,0,0,0.3441,0.0479,0,0.229,0,0.0002,0,0.0162,0.0001,0.1296,0,0.0003
神农架,2021,0.0001,0.1744,0.7481,0.0684,1,0.0004,0.6531,0,0,0.0001,0.4364,0.1012,0.0511,0.2308,0,0.0002,0,0.0189,0.0001,0.1447,0,0.0003
神农架,2022,0.0001,0.192,0.3759,0.1244,0.9937,0.0003,0.6431,0,0,0.0001,0.4495,0.1576,0.0937,0.2666,0.0001,0.0002,0,0.0203,0.0001,0.1459,0,0.0002
神农架,2023,0.0002,0.2791,0.6617,0.328,0.8158,0.0005,0.812,0,0,0.0002,0.5439,0.2156,0.1467,0.3588,0.0002,0.0002,0,0.0035,0,0.1464,0,0
